agent;net_profit
Biomass;3.2359344304009355e-5
WindOffshore;3.235728536580283e-5
H2demand;-63210.313473160524
electrolysis;0.008076805066735915
WindOnshore;-0.02358615489132987
Solar;0.022078181085589677
H2turbine;0.006005550943598337
Edemand;-97013.25933156027
H2storage;0.008517353617325085
