period,time_step,WindOffshore,Load,WindOnshore,Solar,Price,LOAD_H2,ELASTICITY_EL
12,1,0.909349593,11925.0,0.60052531,0.0,24.43,8593.0,2445.0
12,2,0.912195122,11547.0,0.582378223,0.0,24.61,8592.0,2368.0
12,3,0.789430894,11302.0,0.555993314,0.0,19.51,8591.0,2305.0
12,4,0.788617886,11260.0,0.526265521,0.0,24.38,8590.0,2308.0
12,5,0.749186992,11355.0,0.473615091,0.0,27.16,8589.0,2334.0
12,6,0.751219512,11845.0,0.388371538,0.0,36.18,8588.0,2458.0
12,7,0.749593496,12951.0,0.301277459,0.0,47.7,8587.0,2720.0
12,8,0.654878049,14665.0,0.2288085,0.000107143,60.0,8586.0,3120.0
12,9,0.704471545,16079.0,0.18845511,0.0075,62.65,8585.0,3431.0
12,10,0.739837398,16317.0,0.181172397,0.03375,83.13,8584.0,3559.0
12,11,0.65203252,15940.0,0.218421681,0.083035714,71.0,8583.0,3432.0
12,12,0.68495935,15256.0,0.273579274,0.152392857,57.17,8582.0,3236.0
12,13,0.699186992,14688.0,0.334288443,0.210821429,58.39,8580.0,3120.0
12,14,0.742276423,14491.0,0.355062082,0.211214286,53.39,8579.0,3062.0
12,15,0.700406504,14592.0,0.347361509,0.145607143,49.63,8578.0,3071.0
12,16,0.686585366,15098.0,0.324021012,0.065,53.73,8577.0,3191.0
12,17,0.712195122,15817.0,0.320260267,0.019321429,68.02,8576.0,3394.0
12,18,0.719512195,16907.0,0.314529608,0.0,87.19,8575.0,3704.0
12,19,0.726829268,16335.0,0.326707259,0.0,62.4,8574.0,3484.0
12,20,0.685772358,15579.0,0.341571156,0.0,53.3,8573.0,3291.0
12,21,0.646341463,14939.0,0.344675263,0.0,53.3,8572.0,3156.0
12,22,0.561788618,14095.0,0.33697469,0.0,54.4,8571.0,2981.0
12,23,0.457317073,13195.0,0.315305635,0.0,48.4,8570.0,2773.0
12,24,0.496341463,12566.0,0.305754537,0.0,45.69,8569.0,2634.0
37,1,0.236585366,11765.0,0.188156638,0.0,64.7,8027.0,2516.0
37,2,0.244308943,11338.0,0.212094078,0.0,44.94,8026.0,2374.0
37,3,0.250406504,11065.0,0.239434097,0.0,41.0,8025.0,2308.0
37,4,0.273170732,10953.0,0.263729704,0.0,35.08,8024.0,2270.0
37,5,0.287804878,10931.0,0.290651862,0.0,34.72,8024.0,2265.0
37,6,0.310569106,11038.0,0.324379179,0.0,35.8,8023.0,2290.0
37,7,0.313414634,11445.0,0.356733524,0.0,43.0,8022.0,2392.0
37,8,0.315853659,12185.0,0.391296562,0.007357143,55.0,8021.0,2579.0
37,9,0.317479675,12898.0,0.423053964,0.024,50.0,8020.0,2715.0
37,10,0.397154472,13817.0,0.452423591,0.040357143,56.74,8019.0,2930.0
37,11,0.426422764,14216.0,0.470749761,0.062892857,55.0,8019.0,3009.0
37,12,0.433333333,14325.0,0.487106017,0.081535714,43.52,8018.0,2995.0
37,13,0.49796748,14334.0,0.50752149,0.089785714,41.94,8017.0,2992.0
37,14,0.515853659,14194.0,0.536174785,0.083178571,56.0,8016.0,3007.0
37,15,0.565447154,14143.0,0.562977555,0.061142857,46.2,8015.0,2966.0
37,16,0.656910569,14152.0,0.59354107,0.0325,40.1,8014.0,2949.0
37,17,0.759756098,14371.0,0.63019341,0.0105,45.0,8014.0,3010.0
37,18,0.81097561,15213.0,0.669412607,0.00125,48.8,8013.0,3199.0
37,19,0.885365854,15359.0,0.695737822,0.0,47.4,8012.0,3225.0
37,20,0.910162602,14772.0,0.707020057,0.0,42.98,8011.0,3087.0
37,21,0.912195122,14127.0,0.716571156,0.0,42.4,8010.0,2951.0
37,22,0.914634146,13549.0,0.718600764,0.0,30.29,8009.0,2794.0
37,23,0.917073171,12952.0,0.718600764,0.0,33.07,8009.0,2679.0
37,24,0.915853659,12347.0,0.72086915,0.0,28.5,8008.0,2542.0
123,1,0.256910569,10096.0,0.098436008,0.0,53.95,6951.0,2134.0
123,2,0.280081301,9897.0,0.122492837,0.0,53.25,6951.0,2091.0
123,3,0.319512195,9848.0,0.149414995,0.0,52.2,6951.0,2078.0
123,4,0.304471545,9910.0,0.173650907,0.0,54.31,6951.0,2096.0
123,5,0.327235772,10260.0,0.187798472,0.004821429,59.61,6950.0,2182.0
123,6,0.314227642,11008.0,0.191260745,0.043071429,72.56,6950.0,2374.0
123,7,0.359756098,11991.0,0.189171442,0.136821429,86.42,6950.0,2625.0
123,8,0.375609756,12626.0,0.20910936,0.258392857,87.93,6950.0,2769.0
123,9,0.345934959,12124.0,0.227196753,0.388357143,67.32,6950.0,2600.0
123,10,0.364227642,11285.0,0.24247851,0.507035714,60.98,6949.0,2404.0
123,11,0.372357724,10736.0,0.266893505,0.589964286,57.12,6949.0,2277.0
123,12,0.432520325,10754.0,0.297934575,0.610535714,52.99,6949.0,2271.0
123,13,0.51300813,11070.0,0.316141356,0.573678571,49.97,6949.0,2330.0
123,14,0.604878049,11037.0,0.319245463,0.496,50.83,6948.0,2326.0
123,15,0.56300813,11093.0,0.31578319,0.39675,50.09,6948.0,2336.0
123,16,0.636585366,11670.0,0.283309456,0.286642857,49.79,6948.0,2456.0
123,17,0.681707317,12477.0,0.220331901,0.186821429,56.19,6948.0,2644.0
123,18,0.693902439,12654.0,0.168696275,0.105928571,70.06,6947.0,2721.0
123,19,0.638617886,12988.0,0.143982808,0.041571429,82.66,6947.0,2832.0
123,20,0.737804878,13032.0,0.183321394,0.007678571,87.0,6947.0,2855.0
123,21,0.83902439,12903.0,0.246597421,0.0,78.25,6947.0,2800.0
123,22,0.863821138,12254.0,0.304381566,0.0,68.7,6947.0,2632.0
123,23,0.729268293,11546.0,0.397445081,0.0,52.96,6946.0,2438.0
123,24,0.70203252,10873.0,0.514625119,0.0,45.28,6946.0,2278.0
132,1,0.167073171,10573.0,0.06058978,0.0,58.2,6908.0,2245.0
132,2,0.181300813,10258.0,0.065723496,0.0,56.31,6908.0,2174.0
132,3,0.277235772,10116.0,0.072110793,0.0,54.81,6908.0,2141.0
132,4,0.26504065,10151.0,0.084288443,0.0,55.01,6908.0,2148.0
