agent;weigthed_obj
Biomass;0.0001002946503303459
H2demand;-58762.39098756127
electrolysis;0.001373042503871602
WindOnshore;0.0039214364920212574
Solar;-290.76129791926144
H2turbine;0.006231807467507622
Edemand;-95870.99618686156
H2storage;0.007865372567664508
