times,LOAD,WIND_ONSHORE,WIND_OFFSHORE,SOLAR,DA_PRICES,LOAD_H2,ELASTICITY_EL
2019-01-01T00:00:00.000+01:00,11285,0.489158906,0.828631139,0,68.92,7106,2424
2019-01-01T01:00:00.000+01:00,11194,0.516152503,0.832810867,0,64.98,7105,2394
2019-01-01T02:00:00.000+01:00,10933,0.550713038,0.830721003,0,60.27,7104,2327
2019-01-01T03:00:00.000+01:00,10667,0.582945285,0.854754441,0,49.97,7103,2246
2019-01-01T04:00:00.000+01:00,10413,0.597133295,0.863113898,0,47.66,7102,2187
2019-01-01T05:00:00.000+01:00,10441,0.609211292,0.855799373,0,48,7102,2193
2019-01-01T06:00:00.000+01:00,10670,0.610157159,0.858934169,0,49.75,7100,2246
2019-01-01T07:00:00.000+01:00,10899,0.592476717,0.854754441,0,55.12,7099,2307
2019-01-01T08:00:00.000+01:00,11161,0.563809662,0.850574713,0.002604167,44.8,7098,2337
2019-01-01T09:00:00.000+01:00,11463,0.538853318,0.824451411,0.012369792,49.58,7098,2412
2019-01-01T10:00:00.000+01:00,11837,0.537689173,0.777429467,0.031738281,55.44,7097,2506
2019-01-01T11:00:00.000+01:00,12258,0.577051804,0.761755486,0.06266276,62.62,7096,2615
2019-01-01T12:00:00.000+01:00,12493,0.637441793,0.777429467,0.097384983,57.4,7095,2651
2019-01-01T13:00:00.000+01:00,12610,0.691137951,0.848484848,0.106933594,50.76,7094,2657
2019-01-01T14:00:00.000+01:00,12587,0.739959255,0.855799373,0.072536892,49.92,7093,2650
2019-01-01T15:00:00.000+01:00,12709,0.778157742,0.854754441,0.025173611,50.05,7092,2676
2019-01-01T16:00:00.000+01:00,13076,0.793728172,0.830721003,0.002712674,50.6,7091,2755
2019-01-01T17:00:00.000+01:00,14079,0.811263097,0.825496343,0,60.72,7090,2998
2019-01-01T18:00:00.000+01:00,13950,0.827633877,0.848484848,0,50.51,7090,2938
2019-01-01T19:00:00.000+01:00,13678,0.833454598,0.823406479,0,47.35,7089,2872
2019-01-01T20:00:00.000+01:00,13311,0.830544237,0.822361546,0,50.4,7088,2803
2019-01-01T21:00:00.000+01:00,12762,0.82814319,0.809822362,0,47.53,7086,2680
2019-01-01T22:00:00.000+01:00,12222,0.823850407,0.834900731,0,51.06,7086,2576
2019-01-01T23:00:00.000+01:00,11522,0.819266589,0.81922675,0,47.55,7085,2419
2019-01-02T00:00:00.000+01:00,11056,0.799257858,0.774294671,0,49,7084,2325
2019-01-02T01:00:00.000+01:00,10727,0.796784051,0.841170324,0,46.6,7083,2250
2019-01-02T02:00:00.000+01:00,10573,0.795547148,0.854754441,0,46.6,7082,2218
2019-01-02T03:00:00.000+01:00,10512,0.790381257,0.857889237,0,45.73,7082,2203
2019-01-02T04:00:00.000+01:00,10608,0.777866705,0.857889237,0,46.01,7080,2224
2019-01-02T05:00:00.000+01:00,11109,0.75669383,0.861024033,0,46.45,7079,2330
2019-01-02T06:00:00.000+01:00,12300,0.715221187,0.861024033,0,47.86,7078,2584
2019-01-02T07:00:00.000+01:00,13753,0.655922584,0.853709509,5.43E-05,49.5,7078,2894
2019-01-02T08:00:00.000+01:00,15030,0.585055297,0.855799373,0.033148872,52.42,7077,3172
2019-01-02T09:00:00.000+01:00,15713,0.510695576,0.853709509,0.116536458,52.42,7076,3316
2019-01-02T10:00:00.000+01:00,15788,0.460128056,0.857889237,0.173556858,52.36,7075,3332
2019-01-02T11:00:00.000+01:00,15929,0.427968568,0.820271682,0.192708333,51.94,7074,3360
2019-01-02T12:00:00.000+01:00,15857,0.406577416,0.816091954,0.187011719,51.59,7073,3344
2019-01-02T13:00:00.000+01:00,15854,0.367360303,0.762800418,0.146972656,51.77,7072,3344
2019-01-02T14:00:00.000+01:00,15812,0.318102445,0.702194357,0.085123698,52.61,7071,3338
2019-01-02T15:00:00.000+01:00,15885,0.285797439,0.635318704,0.028862847,60,7070,3380
2019-01-02T16:00:00.000+01:00,16286,0.26637078,0.605015674,0.003255208,69.95,7070,3502
2019-01-02T17:00:00.000+01:00,17159,0.251818976,0.310344828,0,80,7069,3730
2019-01-02T18:00:00.000+01:00,16290,0.235739232,0.390804598,0,77.67,7068,3532
2019-01-02T19:00:00.000+01:00,15699,0.213838766,0.235109718,0,76.53,7066,3400
2019-01-02T20:00:00.000+01:00,14985,0.204816647,0.293625914,0,67.29,7066,3213
2019-01-02T21:00:00.000+01:00,14206,0.196158324,0.364681296,0,55.64,7065,3009
2019-01-02T22:00:00.000+01:00,13329,0.195066938,0.320794148,0,53.81,7064,2817
2019-01-02T23:00:00.000+01:00,12558,0.178259604,0.4169279,0,52.43,7063,2651
2019-01-03T00:00:00.000+01:00,11983,0.161015716,0.393939394,0,50.12,7062,2523
2019-01-03T01:00:00.000+01:00,11575,0.151266007,0.559038662,0,47.1,7062,2429
2019-01-03T02:00:00.000+01:00,11284,0.149810827,0.549634274,0,46.4,7061,2367
2019-01-03T03:00:00.000+01:00,11176,0.150174622,0.479623824,0,44,7059,2338
