times,LOAD,WIND_ONSHORE,WIND_OFFSHORE,SOLAR,DA_PRICES,LOAD_H2,ELASTICITY_EL
2018-01-01T00:00:00.000+01:00,10823,0.525714286,0.784743992,0,27.2,10658,2225
2018-01-01T01:00:00.000+01:00,10690,0.546938776,0.79414838,0,27.3,10657,2198
2018-01-01T02:00:00.000+01:00,10354,0.548571429,0.79414838,0,30.1,10656,2135
2018-01-01T03:00:00.000+01:00,10032,0.551836735,0.784743992,0,20.87,10655,2049
2018-01-01T04:00:00.000+01:00,9766,0.56,0.78369906,0,25.56,10654,2004
2018-01-01T05:00:00.000+01:00,9768,0.552653061,0.789968652,0,25.58,10652,2005
2018-01-01T06:00:00.000+01:00,10070,0.554285714,0.791013584,0,25.81,10650,2067
2018-01-01T07:00:00.000+01:00,10409,0.549387755,0.786833856,0,29.9,10649,2146
2018-01-01T08:00:00.000+01:00,10693,0.528979592,0.724137931,0,26.33,10648,2196
2018-01-01T09:00:00.000+01:00,11050,0.484897959,0.646812957,0.021962074,26.38,10646,2270
2018-01-01T10:00:00.000+01:00,11539,0.502857143,0.754440961,0.092105263,29.9,10645,2379
2018-01-01T11:00:00.000+01:00,11890,0.524897959,0.786833856,0.165247678,34.9,10644,2464
2018-01-01T12:00:00.000+01:00,12211,0.493877551,0.782654127,0.182952786,35.8,10643,2533
2018-01-01T13:00:00.000+01:00,12393,0.468571429,0.791013584,0.147639319,40.4,10642,2583
2018-01-01T14:00:00.000+01:00,12501,0.395918367,0.786833856,0.095588235,34.15,10639,2589
2018-01-01T15:00:00.000+01:00,12612,0.262040816,0.73876698,0.04876161,31,10638,2603
2018-01-01T16:00:00.000+01:00,13132,0.126530612,0.67816092,0.015479876,30,10637,2708
2018-01-01T17:00:00.000+01:00,14098,0.103673469,0.510971787,0.002321981,34.3,10636,2920
2018-01-01T18:00:00.000+01:00,14021,0.064489796,0.287356322,0,30.5,10634,2892
2018-01-01T19:00:00.000+01:00,13746,0.044081633,0.248693835,0,32,10633,2840
2018-01-01T20:00:00.000+01:00,13284,0.062040816,0.240334378,0,32,10632,2745
2018-01-01T21:00:00.000+01:00,12653,0.121632653,0.237199582,0,27.34,10630,2602
2018-01-01T22:00:00.000+01:00,11941,0.151836735,0.258098224,0,27.4,10628,2455
2018-01-01T23:00:00.000+01:00,11159,0.133877551,0.229885057,0,23.79,10627,2286
2018-01-02T00:00:00.000+01:00,10606,0.110204082,0.262277952,0,25.07,10626,2176
2018-01-02T01:00:00.000+01:00,10243,0.164081633,0.219435737,0,23.19,10625,2097
2018-01-02T02:00:00.000+01:00,9990,0.173877551,0.262277952,0,25.03,10624,2049
2018-01-02T03:00:00.000+01:00,9885,0.154285714,0.327063741,0,24.76,10622,2027
2018-01-02T04:00:00.000+01:00,9994,0.184489796,0.33646813,0,24.91,10620,2050
2018-01-02T05:00:00.000+01:00,10534,0.124081633,0.471264368,0,25.98,10619,2163
2018-01-02T06:00:00.000+01:00,11886,0.225306122,0.50261233,0,22.58,10618,2432
2018-01-02T07:00:00.000+01:00,13487,0.281632653,0.592476489,0,41.92,10616,2815
2018-01-02T08:00:00.000+01:00,14973,0.231836735,0.612330199,0,47.95,10615,3145
2018-01-02T09:00:00.000+01:00,15805,0.293061224,0.519331243,0.015286378,49.9,10614,3327
2018-01-02T10:00:00.000+01:00,16054,0.288163265,0.495297806,0.069369195,50,10613,3380
2018-01-02T11:00:00.000+01:00,16092,0.204897959,0.556948798,0.14125387,49.7,10612,3387
2018-01-02T12:00:00.000+01:00,16077,0.238367347,0.523510972,0.18246904,48.16,10609,3378
2018-01-02T13:00:00.000+01:00,16179,0.176326531,0.39707419,0.167376161,47.24,10608,3396
2018-01-02T14:00:00.000+01:00,16268,0.291428571,0.531870428,0.108842879,46.1,10607,3411
2018-01-02T15:00:00.000+01:00,16298,0.232653061,0.665621735,0.047600619,43.86,10606,3409
2018-01-02T16:00:00.000+01:00,16773,0.248979592,0.680250784,0.012964396,43.64,10604,3508
2018-01-02T17:00:00.000+01:00,17634,0.28,0.715778474,0.002225232,47.37,10603,3702
2018-01-02T18:00:00.000+01:00,16820,0.288163265,0.786833856,0,46.08,10602,3527
2018-01-02T19:00:00.000+01:00,16149,0.427755102,0.779519331,0,41.08,10600,3368
2018-01-02T20:00:00.000+01:00,15354,0.479183673,0.78369906,0,34.94,10598,3182
2018-01-02T21:00:00.000+01:00,14405,0.515102041,0.743991641,0,25.46,10597,2956
2018-01-02T22:00:00.000+01:00,13417,0.524081633,0.779519331,0,27.09,10596,2758
2018-01-02T23:00:00.000+01:00,12518,0.519183673,0.776384535,0,28.51,10595,2577
2018-01-03T00:00:00.000+01:00,11718,0.519183673,0.777429467,0,27.74,10594,2410
2018-01-03T01:00:00.000+01:00,11193,0.527346939,0.766980146,0,25.76,10592,2298
2018-01-03T02:00:00.000+01:00,10926,0.531428571,0.775339603,0,21.1,10591,2232
2018-01-03T03:00:00.000+01:00,10868,0.535510204,0.756530825,0,23.6,10589,2226
2018-01-03T04:00:00.000+01:00,10927,0.529795918,0.742946708,0,25.31,10588,2242
2018-01-03T05:00:00.000+01:00,11368,0.537142857,0.76384535,0,25.68,10586,2334
2018-01-03T06:00:00.000+01:00,12723,0.550204082,0.723092999,0,27.45,10585,2616
2018-01-03T07:00:00.000+01:00,14432,0.528163265,0.759665622,0,37,10584,2997
2018-01-03T08:00:00.000+01:00,15881,0.529795918,0.749216301,0,39.9,10583,3308
2018-01-03T09:00:00.000+01:00,16529,0.547755102,0.652037618,0.013351393,43.1,10582,3455
2018-01-03T10:00:00.000+01:00,16964,0.52,0.567398119,0.034442724,43.2,10580,3546
2018-01-03T11:00:00.000+01:00,17219,0.356734694,0.567398119,0.034055728,45,10578,3606
2018-01-03T12:00:00.000+01:00,17130,0.285714286,0.567398119,0.041505418,41.4,10577,3574
2018-01-03T13:00:00.000+01:00,17143,0.316734694,0.568443051,0.04876161,42.8,10576,3582
2018-01-03T14:00:00.000+01:00,17013,0.33877551,0.503657262,0.04121517,39.4,10574,3542
2018-01-03T15:00:00.000+01:00,16930,0.42122449,0.57262278,0.026993034,37,10573,3516
2018-01-03T16:00:00.000+01:00,17216,0.438367347,0.549634274,0.013254644,43.1,10572,3598
2018-01-03T17:00:00.000+01:00,17912,0.435102041,0.664576803,0.003869969,59.9,10571,3811
2018-01-03T18:00:00.000+01:00,17037,0.515918367,0.719958203,0,36.67,10570,3537
2018-01-03T19:00:00.000+01:00,16355,0.547755102,0.762800418,0,41.7,10568,3413
2018-01-03T20:00:00.000+01:00,15553,0.545306122,0.762800418,0,47.36,10566,3265
2018-01-03T21:00:00.000+01:00,14600,0.550204082,0.762800418,0,35.8,10565,3028
2018-01-03T22:00:00.000+01:00,13585,0.550204082,0.760710554,0,35.1,10564,2816
2018-01-03T23:00:00.000+01:00,12720,0.550204082,0.759665622,0,35.1,10562,2637
2018-01-04T00:00:00.000+01:00,11900,0.546122449,0.759665622,0,32.4,10561,2460
2018-01-04T01:00:00.000+01:00,11354,0.550204082,0.759665622,0,27.8,10560,2336
2018-01-04T02:00:00.000+01:00,10971,0.546938776,0.75862069,0,31,10559,2264
2018-01-04T03:00:00.000+01:00,10872,0.542040816,0.757575758,0,28,10558,2237
2018-01-04T04:00:00.000+01:00,10914,0.523265306,0.711598746,0,27.47,10555,2244
2018-01-04T05:00:00.000+01:00,11374,0.495510204,0.703239289,0,27.9,10554,2340
2018-01-04T06:00:00.000+01:00,12763,0.44,0.666666667,0,28.97,10553,2629
2018-01-04T07:00:00.000+01:00,14513,0.373877551,0.585161964,0,33.59,10552,3003
2018-01-04T08:00:00.000+01:00,16010,0.297142857,0.544409613,9.67E-05,40.45,10550,3337
2018-01-04T09:00:00.000+01:00,16641,0.349387755,0.413793103,0.007739938,41.97,10549,3474
2018-01-04T10:00:00.000+01:00,16875,0.295510204,0.344827586,0.0249613,44.91,10548,3534
2018-01-04T11:00:00.000+01:00,16932,0.256326531,0.258098224,0.032314241,49,10547,3561
2018-01-04T12:00:00.000+01:00,16781,0.182040816,0.331243469,0.029605263,46.04,10546,3518
2018-01-04T13:00:00.000+01:00,16858,0.093061224,0.245559039,0.024477554,47.5,10543,3540
2018-01-04T14:00:00.000+01:00,16862,0.099591837,0.136886102,0.017608359,47.32,10542,3540
2018-01-04T15:00:00.000+01:00,16809,0.093877551,0.18077325,0.011803406,48.8,10541,3534
2018-01-04T16:00:00.000+01:00,16997,0.160816327,0.23092999,0.007352941,48.8,10540,3574
2018-01-04T17:00:00.000+01:00,17690,0.297142857,0.31138976,0.002902477,52.4,10538,3734
2018-01-04T18:00:00.000+01:00,16920,0.441632653,0.283176594,0,49.96,10537,3562
2018-01-04T19:00:00.000+01:00,16272,0.481632653,0.298850575,0,46.73,10536,3414
2018-01-04T20:00:00.000+01:00,15477,0.495510204,0.425287356,0,41.57,10535,3230
2018-01-04T21:00:00.000+01:00,14571,0.535510204,0.297805643,0,37.09,10534,3026
2018-01-04T22:00:00.000+01:00,13496,0.558367347,0.761755486,0,33.92,10531,2794
2018-01-04T23:00:00.000+01:00,12672,0.56,0.76384535,0,31.5,10530,2617
