periods,weights,selected_periods
2,38.36234475899181,true
26,53.74433306657853,true
122,46.369542820471494,true
202,66.29471632638203,true
245,64.95225918408217,true
278,50.15434381012996,true
302,31.51962511838603,true
305,13.602834914978018,true
