period,time_step,WindOffshore,Load,WindOnshore,Solar,Price,LOAD_H2,ELASTICITY_EL
35,1,0.730227273,11894.0,0.47701767,0.0,20.79,8068.0,2429.0
35,2,0.733863636,11591.0,0.49229943,0.0,17.41,8067.0,2359.0
35,3,0.737272727,11356.0,0.50931232,0.0,16.24,8066.0,2309.0
35,4,0.740909091,11209.0,0.52471347,0.0,12.56,8065.0,2270.0
35,5,0.740909091,11275.0,0.52674308,0.0,12.03,8064.0,2282.0
35,6,0.744090909,11808.0,0.53277221,0.0,15.88,8063.0,2400.0
35,7,0.746136364,13226.0,0.53635387,0.0,24.88,8063.0,2713.0
35,8,0.742954545,15211.0,0.5137894,0.006642679,29.7,8062.0,3135.0
35,9,0.737045455,16193.0,0.48585244,0.041758926,35.01,8061.0,3356.0
35,10,0.726363636,16291.0,0.4681829,0.099086632,34.9,8060.0,3376.0
35,11,0.716818182,15810.0,0.46579513,0.136936064,29.9,8059.0,3259.0
35,12,0.715,15526.0,0.44030564,0.146761694,29.03,8058.0,3198.0
35,13,0.703636364,15548.0,0.38867001,0.130327982,27.07,8057.0,3196.0
35,14,0.657045455,15785.0,0.32211079,0.120260172,26.43,8057.0,3243.0
35,15,0.569772727,15890.0,0.2617001,0.109742596,29.9,8056.0,3276.0
35,16,0.49,16087.0,0.21095989,0.072965679,29.05,8055.0,3314.0
35,17,0.393863636,16279.0,0.16923352,0.025221423,31.42,8054.0,3361.0
35,18,0.286363636,16793.0,0.15096705,0.001764462,39.92,8053.0,3498.0
35,19,0.214318182,16663.0,0.15019102,0.0,41.3,8052.0,3476.0
35,20,0.194318182,16149.0,0.15269819,0.0,42.07,8051.0,3372.0
35,21,0.2075,15374.0,0.16242837,0.0,39.75,8051.0,3202.0
35,22,0.245,14536.0,0.1737106,0.0,30.13,8050.0,2998.0
35,23,0.309772727,13531.0,0.17854585,0.0,30.36,8049.0,2791.0
35,24,0.3475,12689.0,0.17854585,0.0,31.88,8048.0,2621.0
80,1,0.392727273,10962.0,0.14899713,0.0,19.9,7331.0,2237.0
80,2,0.43,10590.0,0.17138252,0.0,20.0,7330.0,2161.0
80,3,0.475227273,10432.0,0.18773878,0.0,18.62,7330.0,2126.0
80,4,0.520909091,10464.0,0.20427412,0.0,18.6,7329.0,2132.0
80,5,0.569772727,10570.0,0.22313754,0.0,19.0,7329.0,2155.0
80,6,0.595227273,10968.0,0.23794174,0.000207584,25.25,7328.0,2250.0
80,7,0.586363636,11916.0,0.23931471,0.003563521,27.4,7328.0,2450.0
80,8,0.569090909,13069.0,0.2436127,0.011763078,33.79,7327.0,2705.0
80,9,0.571363636,14052.0,0.25477555,0.021381124,33.23,7327.0,2907.0
80,10,0.565227273,14316.0,0.26969914,0.030653197,29.19,7326.0,2949.0
80,11,0.559545455,14197.0,0.28862225,0.037918627,28.87,7326.0,2924.0
80,12,0.5625,14086.0,0.28939828,0.04196651,26.14,7325.0,2893.0
80,13,0.580681818,14051.0,0.28742837,0.043177415,22.85,7325.0,2876.0
80,14,0.583409091,14074.0,0.28575692,0.042139496,21.36,7324.0,2876.0
80,15,0.59,14072.0,0.29548711,0.039198727,20.04,7324.0,2872.0
80,16,0.614545455,13922.0,0.29321872,0.033282591,22.13,7323.0,2847.0
80,17,0.627045455,13959.0,0.27310172,0.023110988,23.71,7323.0,2860.0
80,18,0.615227273,14551.0,0.25781996,0.0102062,26.62,7322.0,2990.0
80,19,0.607954545,14393.0,0.25716332,0.00204124,28.63,7322.0,2963.0
80,20,0.613636364,14418.0,0.27250478,0.0,28.92,7321.0,2969.0
80,21,0.627727273,13832.0,0.29226361,0.0,25.06,7321.0,2838.0
