Datetime,LOAD,WIND_ONSHORE,WIND_OFFSHORE,SOLAR,OTHER,LOAD_H2,ELASTICITY_EL
01/01/21 00:00,277334,0.110867073,0.069985836,0.000107183,68497,226530,58439.6
01/01/21 01:00,277225,0.135869348,0.077889518,9.81E-05,68063,226509,58252.2
01/01/21 02:00,269501,0.131906105,0.072471671,0.000107183,65729,226487,56421.1
01/01/21 03:00,268863,0.131775089,0.069029745,9.81E-05,67951,226465,56184.0
01/01/21 04:00,270346,0.134018743,0.069858357,9.81E-05,70308,226443,56345.0
01/01/21 05:00,270096,0.135290693,0.071770538,9.81E-05,69844,226422,56281.7
01/01/21 06:00,274320,0.135296151,0.086239377,0.000205433,72068,226400,57128.0
01/01/21 07:00,277096,0.135214267,0.071069405,0.003885365,74520,226378,57733.7
01/01/21 08:00,282057,0.135940315,0.066352691,0.023455102,75050,226356,58839.7
01/01/21 09:00,290185,0.134777545,0.062273372,0.067524969,76297,226335,60764.1
01/01/21 10:00,299158,0.131584023,0.071770538,0.124992647,76441,226313,62650.9
01/01/21 11:00,305720,0.129678828,0.080120397,0.167320799,75349,226291,64173.0
01/01/21 12:00,309428,0.131316531,0.089872521,0.187292469,74879,226269,65196.3
01/01/21 13:00,307925,0.13431353,0.097839943,0.173582042,74907,226248,64520.0
01/01/21 14:00,306104,0.137550723,0.101983003,0.130512545,77174,226226,64087.4
01/01/21 15:00,304062,0.138746247,0.090191219,0.075438609,78376,226204,63784.1
01/01/21 16:00,308199,0.137823674,0.094525496,0.029671686,82061,226182,65088.9
01/01/21 17:00,314355,0.138691657,0.097011331,0.00881576,85871,226161,66902.5
01/01/21 18:00,320381,0.141426622,0.080949009,0.000741345,90957,226139,68210.4
01/01/21 19:00,320427,0.145482667,0.079865439,0.000526981,89641,226117,68202.1
01/01/21 20:00,315951,0.146126831,0.090637394,0.000518049,85966,226096,67038.2
01/01/21 21:00,308436,0.148277682,0.070113315,0.000518049,80324,226074,65198.8
01/01/21 22:00,303377,0.146181421,0.097839943,0.000535913,77300,226052,64101.6
01/01/21 23:00,293062,0.14630152,0.092868272,0.000535913,71773,226031,61679.1
02/01/21 00:00,283067,0.144576472,0.06851983,0.000535913,68908,226009,59386.1
02/01/21 01:00,277740,0.144843963,0.046912181,0.000491253,68938,225987,58009.3
02/01/21 02:00,276521,0.143326358,0.03888102,0.000133978,70004,225966,57674.0
02/01/21 03:00,278631,0.144019652,0.033654391,8.93E-05,73448,225944,58048.1
02/01/21 04:00,280655,0.145848422,0.033463173,8.93E-05,75345,225922,58321.0
02/01/21 05:00,280450,0.148359567,0.034546742,8.93E-05,73481,225901,58366.3
02/01/21 06:00,279050,0.149718861,0.047167139,8.93E-05,69733,225879,58262.3
02/01/21 07:00,286532,0.149549631,0.057365439,0.003099361,70412,225857,60004.2
02/01/21 08:00,299671,0.148577927,0.048505666,0.016979493,74629,225836,62985.9
02/01/21 09:00,313061,0.147338732,0.039582153,0.056002851,77029,225814,66046.6
02/01/21 10:00,323084,0.145378947,0.036267705,0.110603398,78403,225792,68161.2
02/01/21 11:00,329355,0.144663816,0.023392351,0.146536327,78521,225771,69495.2
02/01/21 12:00,334638,0.14491493,0.034228045,0.158138832,80489,225749,70894.1
02/01/21 13:00,332712,0.140438541,0.02562323,0.147331265,79786,225727,70192.4
02/01/21 14:00,328758,0.14370303,0.023137394,0.118231218,79016,225706,69262.5
02/01/21 15:00,327718,0.147087617,0.031168555,0.079386497,79962,225684,69244.7
02/01/21 16:00,333410,0.147764534,0.049461756,0.043551819,87084,225662,70937.5
02/01/21 17:00,342432,0.150936221,0.066288952,0.016452512,95165,225641,73013.2
02/01/21 18:00,349884,0.155947594,0.088470255,0.002152582,103236,225619,74688.1
02/01/21 19:00,347140,0.162973342,0.108038244,0.000384071,100022,225598,74030.5
02/01/21 20:00,338162,0.16409244,0.125056657,0.000178637,93075,225576,71951.7
02/01/21 21:00,326591,0.164856701,0.130474504,0.000178637,83865,225554,69122.0
02/01/21 22:00,317525,0.167482486,0.129263456,0.000187569,77393,225533,67006.1
02/01/21 23:00,308134,0.173454645,0.174645893,0.000196502,72909,225511,64764.6
03/01/21 00:00,294469,0.181785097,0.206834278,0.000196502,69815,225490,61740.7
03/01/21 01:00,283918,0.189231189,0.205177054,0.000196502,66907,225468,59335.0
03/01/21 02:00,282598,0.196420708,0.231883853,0.000196502,67712,225446,58847.0
03/01/21 03:00,286262,0.198418706,0.257188386,0.000187569,71965,225425,59969.0
03/01/21 04:00,287929,0.201775999,0.296770538,0.000187569,74119,225403,60173.2
03/01/21 05:00,289344,0.209085616,0.346805949,0.000187569,73997,225382,60469.0
03/01/21 06:00,292600,0.217776362,0.398753541,0.000187569,73962,225360,61085.6
03/01/21 07:00,294619,0.222973342,0.430240793,0.001589873,73052,225339,61719.7
03/01/21 08:00,298538,0.225206078,0.459305949,0.012951218,72454,225317,62411.3
03/01/21 09:00,310308,0.228858157,0.468675637,0.045802651,72749,225295,66086.3
03/01/21 10:00,318019,0.220915294,0.52361898,0.098572163,72093,225274,68555.6
03/01/21 11:00,329027,0.223453735,0.529164306,0.138444049,74309,225252,70167.0
03/01/21 12:00,335083,0.234568283,0.523682719,0.148903275,75613,225231,71362.6
03/01/21 13:00,331536,0.246174143,0.484737961,0.138703074,73062,225209,70464.6
03/01/21 14:00,328001,0.251332908,0.500035411,0.116025045,73455,225188,69246.0
03/01/21 15:00,328752,0.254821217,0.525594901,0.083852435,76000,225166,68824.8
03/01/21 16:00,332174,0.259286689,0.557847025,0.048794829,79312,225145,70500.6
03/01/21 17:00,341745,0.254149759,0.557464589,0.018426456,86934,225123,73493.5
03/01/21 18:00,348203,0.253691202,0.591310198,0.002045399,93490,225102,74077.9
03/01/21 19:00,348041,0.245906651,0.554723796,0.000250093,95361,225080,72834.8
03/01/21 20:00,340713,0.245475389,0.557719547,0.000232228,90397,225059,71130.1
03/01/21 21:00,329473,0.239732509,0.536048159,0.000232228,83948,225037,68728.3
03/01/21 22:00,319743,0.226865617,0.534008498,0.000232228,78471,225015,66815.0
03/01/21 23:00,242167,0.202316441,0.536430595,0.000223296,68238,224994,50112.2
04/01/21 00:00,299383,0.201956146,0.523873938,9.81E-05,70033,224972,62499.1
04/01/21 01:00,296669,0.195312528,0.555106233,8.93E-05,69187,224951,61741.7
04/01/21 02:00,297233,0.192091712,0.538725212,8.93E-05,70939,224929,61739.6
04/01/21 03:00,296838,0.187975616,0.53394476,8.93E-05,72649,224908,61571.2
04/01/21 04:00,298075,0.184558275,0.533371105,8.93E-05,73212,224886,61881.7
04/01/21 05:00,301680,0.183439177,0.550580737,8.93E-05,71999,224865,62970.0
04/01/21 06:00,318067,0.184099718,0.56555949,0.000125046,75517,224844,66177.1
04/01/21 07:00,347816,0.180076426,0.598385269,0.001107553,87919,224822,72583.4
04/01/21 08:00,368855,0.174813939,0.653774788,0.011879393,96756,224801,78479.8
04/01/21 09:00,382666,0.171516695,0.700686968,0.040238093,104076,224779,81838.8
04/01/21 10:00,391774,0.168486944,0.727330028,0.086344427,104958,224758,83356.2
04/01/21 11:00,395600,0.168759895,0.729369689,0.106718032,103985,224736,84027.2
04/01/21 12:00,398879,0.172925121,0.725545326,0.114997881,105780,224715,84808.3
04/01/21 13:00,395477,0.175752888,0.715219547,0.110085349,102140,224693,84001.1
04/01/21 14:00,391315,0.179645164,0.721211048,0.092168009,98409,224672,83250.5
04/01/21 15:00,391418,0.184683832,0.728222379,0.061370908,99260,224650,83237.9
04/01/21 16:00,391540,0.18530616,0.728094901,0.027179693,100765,224629,83489.3
04/01/21 17:00,399263,0.18541534,0.724270538,0.009164103,107903,224607,85620.9
04/01/21 18:00,401612,0.184279865,0.726055241,0.001179008,111664,224586,85591.4
04/01/21 19:00,395991,0.188647075,0.725800283,0.000518049,107591,224565,82748.1
04/01/21 20:00,382641,0.18470021,0.724206799,0.000500185,98408,224543,79832.5
04/01/21 21:00,366461,0.182281867,0.720573655,0.000500185,88825,224522,76577.4
04/01/21 22:00,353989,0.176140479,0.713116148,0.00042873,84406,224500,73897.0
04/01/21 23:00,339006,0.171511237,0.712478753,0.000357275,77755,224479,70626.3
05/01/21 00:00,327540,0.169895369,0.709674221,0.000357275,76378,224457,68367.1
05/01/21 01:00,319654,0.16375398,0.714199717,0.000348343,74306,224436,66732.2
05/01/21 02:00,316272,0.162121736,0.67697592,0.000357275,74505,224415,66022.0
05/01/21 03:00,315136,0.163284505,0.682011331,0.000357275,74797,224393,65790.4
05/01/21 03:59,317910,0.161237376,0.672386685,0.000357275,77145,224372,66366.7
05/01/21 04:59,321950,0.158758985,0.666713881,0.000357275,76482,224350,67424.1
05/01/21 05:59,337483,0.161783277,0.651926345,0.000375139,79296,224329,70087.7
05/01/21 06:59,363483,0.163601128,0.639624646,0.003304794,90176,224308,76130.1
05/01/21 07:59,382090,0.159828951,0.626303116,0.01830141,99272,224286,81130.0
05/01/21 08:59,393058,0.153365481,0.600871105,0.046186721,105459,224265,83629.4
05/01/21 09:59,400194,0.150008189,0.622669972,0.087371592,106832,224244,85077.1
05/01/21 10:59,402116,0.149871713,0.623052408,0.109728074,106244,224222,85599.4
05/01/21 11:59,404241,0.153239924,0.620885269,0.122786474,105895,224201,85963.9
05/01/21 12:59,400495,0.158234919,0.636055241,0.123206272,101267,224179,85607.9
05/01/21 13:59,396815,0.163961423,0.641026913,0.100054854,98662,224158,84420.6
05/01/21 14:59,395168,0.168001092,0.641983003,0.062308754,98967,224137,84156.2
05/01/21 15:59,395101,0.169829861,0.63006374,0.032860365,100869,224115,84262.1
05/01/21 16:59,402956,0.173935038,0.629745043,0.012093758,109608,224094,86008.0
05/01/21 17:59,403928,0.174273496,0.616550991,0.003304794,112396,224073,84654.3
05/01/21 18:59,397881,0.17546902,0.599468838,0.000973574,109050,224051,83183.9
05/01/21 19:59,384528,0.175922118,0.586529745,0.000419798,99144,224030,80287.3
05/01/21 20:59,368887,0.173067055,0.592457507,0.000419798,90129,224009,77306.4
05/01/21 21:59,353425,0.170572287,0.565304532,0.000419798,83229,223987,74062.2
05/01/21 22:59,340046,0.167755436,0.552811614,0.00042873,79667,223966,71024.2
05/01/21 23:59,326851,0.161810573,0.55121813,0.00042873,76739,223945,68423.2
06/01/21 00:59,324910,0.158436903,0.530694051,0.00042873,78027,223923,68022.6
06/01/21 01:59,323086,0.153878628,0.503286119,0.00042873,79344,223902,67681.1
06/01/21 02:59,323107,0.150919844,0.483654391,0.00042873,81599,223881,67601.3
06/01/21 03:59,322531,0.14276408,0.486203966,0.00042873,81822,223859,67498.4
06/01/21 04:59,321433,0.136993904,0.480786119,0.00042873,79218,223838,67371.5
06/01/21 05:59,329564,0.131332909,0.550325779,0.000419798,80740,223817,68814.0
06/01/21 06:59,342434,0.125753799,0.550771955,0.001777443,83859,223795,71797.4
06/01/21 07:59,355888,0.122330998,0.510552408,0.016166692,88021,223774,75728.9
06/01/21 08:59,368142,0.121304704,0.47970255,0.046374291,93512,223753,77503.6
06/01/21 09:59,375734,0.114857611,0.425587819,0.09049775,96171,223732,79302.2
06/01/21 10:59,381166,0.108869075,0.403661473,0.119651387,97879,223710,81099.1
