agent;profit
Biomass;0.0001169063024683554
H2demand;-63012.49963923748
electrolysis;0.006788003593712233
WindOnshore;-0.005070241425471522
Solar;0.009314889063603005
H2turbine;0.0012836649873406714
Edemand;-96734.79954477337
H2storage;0.0011896504791764073
