agent;weigthed_obj
Biomass;0.0027245658985179944
H2demand;-63365.679165077156
electrolysis;-0.02173594838563986
WindOnshore;0.03631185678591464
Solar;-347.8328468924816
H2turbine;0.004408953065414778
Edemand;-98765.75827744168
H2storage;-0.01040376585669378
