x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.939757123386516e-14;0.0;0.0;0.0;0.0;2.631518907466096e-14;3.095062703361136e-14;2.0309974835448338e-14
2.408687552336134e-14;0.0;1.800633356258489e-14;0.0;0.0;2.7458139510916965e-14;3.3045864421348894e-14;2.55655145349573e-14
2.985468922510233e-14;3.028807928741077e-14;0.0;0.0;0.0;2.592630497613071e-14;3.3144854723547004e-14;3.2907996216408594e-14
3.160376915685244e-14;3.203283042480417e-14;0.0;0.0;0.0;0.0;3.191060882227216e-14;3.4713196543198276e-14
2.925061405580117e-14;3.279760864746714e-14;0.0;0.0;0.0;0.0;3.117538649120239e-14;3.340403199863475e-14
2.5963290989788067e-14;3.294698639101177e-14;0.0;0.0;0.0;0.0;3.054860805527111e-14;3.18273220951351e-14
2.4142126903752495e-14;3.295612444961316e-14;0.0;0.0;0.0;0.0;3.050412247061566e-14;3.027886313046783e-14
2.3534135549435785e-14;3.275913408264452e-14;0.0;0.0;0.0;0.0;3.0646600676133446e-14;3.040057567582098e-14
2.3788508017816224e-14;3.2606960870678016e-14;0.0;0.0;0.0;0.0;3.076775913839837e-14;3.160735187266359e-14
2.53877579635138e-14;3.2591720798007864e-14;0.0;0.0;0.0;0.0;3.1941744450997966e-14;3.346915028204897e-14
2.855473005605164e-14;3.304678865462328e-14;0.0;0.0;0.0;2.620641764210779e-14;3.380655331288487e-14;3.762073572807009e-14
3.528178225602999e-14;3.474847067095103e-14;1.7947010677403477e-14;0.0;0.0;2.7562116247743656e-14;3.425095713633789e-14;4.141279994107825e-14
3.130235060063271e-14;3.5026219260660175e-14;1.9090876025991305e-14;0.0;0.0;2.921565858854851e-14;3.4415341006960144e-14;3.585573997536037e-14
2.7136455964920762e-14;3.382902415845511e-14;1.9278748065265725e-14;5.302999821632418e-15;0.0;2.9410765995110323e-14;3.2170396982850317e-14;3.0404810396005833e-14
2.4866146928474693e-14;3.255562347056558e-14;1.8774159467946755e-14;5.4164574937649705e-15;0.0;2.7411796418912996e-14;3.0500497335644994e-14;2.61769318411565e-14
2.249496056658717e-14;3.1389181935874155e-14;0.0;0.0;0.0;2.5460793087037386e-14;2.8947106217201096e-14;2.3730541149468203e-14
2.0235398042086606e-14;3.03086225120137e-14;0.0;0.0;0.0;0.0;0.0;2.1634784893459496e-14
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9227673167350233e-14
