x1;x2;x3;x4;x5;x6;x7;x8
4.4893879537783536e-17;4.91221874401374e-17;7.602917588935999e-17;3.6597901265356183e-17;1.623863458248507e-16;1.5961830163807764e-16;8.6048984764165e-17;8.044458268576949e-17
5.458514703933742e-17;5.528181006531007e-17;8.897007001349074e-17;4.062873003700393e-17;1.940436789281248e-16;1.7842510885981288e-16;1.0918571988234283e-16;9.95120932538387e-17
6.326458286946e-17;5.832842541999714e-17;1.0134407813443754e-16;4.276168913830247e-17;2.1354157612652108e-16;1.7768693760917218e-16;1.1911957774271843e-16;1.2029024054275221e-16
7.046135581305645e-17;5.78905666661517e-17;1.0805061076341094e-16;4.2019205472081777e-17;2.1915770993023776e-16;1.6984274852845498e-16;1.2114241146771394e-16;1.3398140697156323e-16
6.716030298134357e-17;4.737179635665226e-17;1.205790242604829e-16;3.8596938846585273e-17;2.161889865246203e-16;1.3841685125356145e-16;1.1813550905043388e-16;1.2789074966275287e-16
5.1142056626037905e-17;3.2423963272337585e-17;1.166923423819365e-16;3.2577559054193424e-17;1.9420457301523256e-16;8.66688888296856e-17;9.124725858047281e-17;9.512252930198982e-17
3.252506472206965e-17;2.4497741768237476e-17;8.799946924094152e-17;2.6605742868765974e-17;1.645855596388829e-16;5.440969228485492e-17;5.275878034876388e-17;5.7643329665226e-17
2.284492055666888e-17;2.138397532418011e-17;6.650609670076212e-17;2.2920334080242954e-17;1.1973289887087927e-16;4.8288972650397014e-17;3.724891142884942e-17;3.909446740692167e-17
1.9401217516264557e-17;2.078931101168217e-17;5.327938091032927e-17;2.162542586601914e-17;9.039060495081605e-17;4.765044630633732e-17;3.309086843165296e-17;3.229320241667449e-17
1.8609278503610518e-17;2.1652440073878558e-17;4.933289890662073e-17;2.151649358183186e-17;7.565465694655378e-17;5.1848755914849495e-17;3.196949037933849e-17;3.030963750088579e-17
1.857370697016138e-17;2.1789492835682102e-17;5.0632776072035207e-17;2.172628210253632e-17;6.706666153703083e-17;5.775075774740458e-17;3.297755048770287e-17;3.035813834203237e-17
1.9008887783690818e-17;2.2348607568449566e-17;5.215343469818054e-17;2.2499774777849173e-17;6.131342491912273e-17;6.217646827969454e-17;3.325152752987436e-17;3.0793385388767446e-17
1.9873849172346928e-17;2.2122269727745367e-17;5.686122659862157e-17;2.326461304367201e-17;6.006848722540957e-17;6.295175641663677e-17;3.3367295551322395e-17;3.170274527571634e-17
1.9907799262989703e-17;2.2368198955114132e-17;5.746179895644236e-17;2.4786420883454143e-17;6.301047882405297e-17;6.258014113596206e-17;3.23689348881923e-17;3.245686080562912e-17
1.9968400715247234e-17;2.2620439295768782e-17;5.319479845635662e-17;2.494338956419189e-17;6.824586972004151e-17;6.040687591161206e-17;3.1674137112139e-17;3.3354886945924497e-17
1.962999660140258e-17;2.206973063197206e-17;4.478391341878802e-17;2.4357218395328058e-17;7.076322126984947e-17;5.621318475089001e-17;3.0955727359725364e-17;3.401193714767274e-17
1.8827684844879695e-17;2.1086043707016955e-17;3.5741560007732734e-17;2.3237611139471914e-17;5.959042922315739e-17;5.0823639702170234e-17;2.9897233217651814e-17;3.276074519901266e-17
1.7221333889007324e-17;2.2012498676298928e-17;3.305361973593685e-17;2.3750820554008057e-17;5.627404476342927e-17;5.134908066424461e-17;2.790073232617246e-17;3.0871563152692554e-17
1.8268580278024004e-17;2.3146184360084776e-17;3.2797398556254626e-17;2.3726593122490956e-17;5.560406373446419e-17;4.777328349328644e-17;2.940471097436422e-17;3.3395742295128355e-17
1.960948671335958e-17;2.354418377299004e-17;3.213507185048971e-17;2.4195751744214992e-17;5.4846418057953224e-17;5.0329411992117887e-17;3.110488240854443e-17;3.6355415145884195e-17
2.184588444007474e-17;2.45716163476143e-17;3.201791991629549e-17;2.5031192600019555e-17;6.36918368976395e-17;5.721752882171097e-17;3.424732357018005e-17;4.009206274075375e-17
2.4665200792388026e-17;2.848525125894996e-17;3.2829094954997283e-17;2.5576965631201173e-17;7.621079791189381e-17;7.19507445624562e-17;3.952710167943744e-17;4.566745440247342e-17
2.960090245121718e-17;3.3220324302111314e-17;3.863409115266646e-17;2.8370988058446856e-17;9.870947328756609e-17;9.240430958242852e-17;4.8028581641726506e-17;5.574500993648508e-17
3.635553465783625e-17;4.179897682112122e-17;4.862992805547404e-17;3.3641111204521904e-17;1.2975355340020807e-16;1.2288821589567828e-16;6.209672286011419e-17;6.965051982754443e-17
