scen_number;LRF_2021;LRF_2031;MSR;RES_target_2030;H2_demand_2030;H2_demand_2050;CNH2_cap_target_2024;CNH2_cap_target_2030;CNH2_demand_2024;CNH2_demand_2030;gamma;max_em_change;Additionality;H2_balance;ref_scen_number;remarks
1;0.042;0.042;2021;0.4;20;50;0;0;0;0;1;10;NA;Yearly;1;Used to calibrate MACC
2;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;NA;Yearly;1;
3;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Yearly;Yearly;1;
4;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Monthly;Yearly;1;
5;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Daily;Yearly;1;
6;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Hourly;Yearly;1;
7;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;NA;Monthly;1;
8;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Yearly;Monthly;1;
9;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Monthly;Monthly;1;
10;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Daily;Monthly;1;
11;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Hourly;Monthly;1;
12;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;NA;Daily;1;
13;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Yearly;Daily;1;
14;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Monthly;Daily;1;
15;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Daily;Daily;1;
16;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Hourly;Daily;1;
17;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;NA;Hourly;1;
18;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Yearly;Hourly;1;
19;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Monthly;Hourly;1;
20;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Daily;Hourly;1;
21;0.042;0.042;2021;0.4;20;50;6;100;1;10;1;10;Hourly;Hourly;1;
