agent;weigthed_obj
Biomass;0.2735206149941405
H2demand;-54795.41509363304
electrolysis;-0.3024074397617369
WindOnshore;-1.066384921232384
Solar;0.7699173374858219
H2turbine;0.09625065612755179
Edemand;-87224.39149738952
H2storage;-0.07913666137847031
