x1;x2;x3;x4;x5;x6;x7;x8
-0.10108811575476168;-0.08982465524026845;-0.08879266070528893;-0.08896600114128675;-0.09473675067614895;-0.0971170717756782;-0.10324876931025323;-0.10694495218170813
-0.10108011575475277;-0.08982464822755098;-0.0887926724245061;-0.09002933480714077;-0.0947367525276352;-0.09711707341565844;-0.10359669388248895;-0.10696095218176813
-0.101080115754791;-0.08982463838101934;-0.08879268254981082;-0.09103272297434932;-0.09474479492468535;-0.09712507565692058;-0.10359325850318274;-0.10696095218171459
-0.10107211575476063;-0.0898088354403366;-0.0887846832894664;-0.09103277085167963;-0.09474477062719788;-0.09712508094820817;-0.10359835879806346;-0.10696895218173183
-0.10105611575475383;-0.0898087684906293;-0.08878468354168867;-0.09104074286707632;-0.09450725349831399;-0.09714108610007835;-0.10362378982626096;-0.10697695218173435
-0.10104810021722804;-0.08845285041124157;-0.0887846809483573;-0.09042801201301726;-0.09110377484722235;-0.0971410891970048;-0.10362378962535743;-0.10697695218173825
-0.1010401853641216;-0.0861766896362561;-0.08878466644511526;-0.08974536900588181;-0.0880148171593264;-0.09714908802639227;-0.10362506932111518;-0.1069849521817253
-0.10103216390768571;-0.08979646594198851;-0.08878464417656544;-0.09104861691289443;-0.08791287935697134;-0.09714908639975345;-0.10362402822394584;-0.10699295218172793
-0.10102413895980036;-0.08980058116040486;-0.0887846070715173;-0.09104858573972097;-0.09476859032323484;-0.09715708373667084;-0.10329677382188379;-0.10699295218169887
-0.10100808483131846;-0.08980052421063137;-0.08914072978449425;-0.09140499654990605;-0.0947765472440041;-0.09715707296248782;-0.10330477235140421;-0.10700895218171569
-0.10099993047823946;-0.09015698062231677;-0.08914099498388203;-0.09141296566803353;-0.0951329850027748;-0.09716505374945757;-0.10330476972905345;-0.10701695218170468
-0.1009998105540813;-0.09014897115992769;-0.08913297738153972;-0.09141294616084841;-0.09514095957137562;-0.09717305059314364;-0.10331276372591841;-0.1070169521797831
-0.10099173087489734;-0.09014897371787815;-0.08913296261629133;-0.09141293891081723;-0.09514093777351257;-0.09717305950676736;-0.10332075675708237;-0.10702495218170491
-0.10098371710394732;-0.09014896763579722;-0.08913295896888859;-0.09141292898540879;-0.09514892807290218;-0.09718905546203128;-0.10332075326422904;-0.10703295218171698
-0.10097576554449128;-0.0901409642356437;-0.08913296523286342;-0.09142893611842987;-0.09514892865362914;-0.0971890501942073;-0.10333675259009141;-0.10703295218175823
-0.10095983688117291;-0.09014096473676587;-0.08913297742650582;-0.0914289566036513;-0.09515693918254033;-0.09719704479791047;-0.10333675475296733;-0.10704095218170567
-0.10095193939539453;-0.09014097470641225;-0.08913298728545603;-0.09142896758647223;-0.09515695533225046;-0.09719704712416963;-0.10334475943695758;-0.10705695218172566
-0.1005874779174986;-0.09014098859960515;-0.08913298978791875;-0.09143698521933231;-0.0948164530859696;-0.09684865034801406;-0.10335276454375388;-0.10705695218168632
-0.10057953451502134;-0.08977653024048386;-0.08912498858141946;-0.09108053075102521;-0.09481652339118207;-0.09684866192429235;-0.10335276692790861;-0.10706495218172954
-0.10057954276750933;-0.08977657719730657;-0.08912501124072661;-0.09108057719709228;-0.09371198464203014;-0.09685669172080431;-0.10336076633579505;-0.10707295218171017
-0.10057154719167458;-0.08977663838099811;-0.08876860226515207;-0.09108851906612787;-0.08796886341602567;-0.09685669295814436;-0.10336876690219908;-0.10707295218175258
-0.10055555136734681;-0.08977664226835885;-0.08876864080876729;-0.0892498905385471;-0.08922122893094316;-0.09686468682705146;-0.10336876895779129;-0.10708095218171189
-0.10054755292469518;-0.08976065936980074;-0.08876863838141777;-0.08993859710389575;-0.09053832545870127;-0.09686468074229083;-0.10338477097626779;-0.10708895218170131
-0.10053955004616169;-0.08976066374764649;-0.08876863838142005;-0.09109679784550634;-0.09191892415332571;-0.09688067536108287;-0.10338476952839279;-0.10708895218165662
